Geneid,Gene Type,Product Description,BD,BD.1,BD.2,BP,BP.1,BP.2,DA,DA.1,DA.2,DD,DD.1,DD.2,DP,DP.1,DP.2
AGAP000043,protein coding gene,tousled-like kinase,3812,2477,2557,2433,2218,2573,1502,2845,934,2137,2443,2152,1988,1332,1849
AGAP000044,protein coding gene,thioredoxin domain-containing protein,2037,1593,1325,1208,1008,1256,714,1646,431,1490,1409,1450,1001,801,1082
AGAP000045,protein coding gene,G_PROTEIN_RECEP_F1_2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q7PRZ8],626,492,427,515,486,503,325,569,312,414,394,405,390,282,268
AGAP000046,protein coding gene,unspecified product,1108,1291,922,896,941,646,1159,4314,1542,1633,3587,3621,298,266,330
AGAP000047,protein coding gene,cuticular protein RR-2 family 130,1819,1091,2937,752,292,2463,225,676,169,391,462,327,237,314,575
AGAP000048,protein coding gene,unspecified product,1021,817,752,652,616,607,389,851,241,769,634,657,556,399,540
AGAP000049,protein coding gene,CCHC-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4G8G9],1238,1061,902,1010,927,923,638,1245,473,803,905,966,862,614,829
AGAP000051,protein coding gene,Heme peroxidase 5 [Source:UniProtKB/TrEMBL;Acc:A0A1S4G8F3],64,44,70,60,50,53,16,52,16,40,73,45,34,33,33
AGAP000053,protein coding gene,Mannose-6-phosphate isomerase [Source:UniProtKB/TrEMBL;Acc:Q7QEL8],451,392,333,276,326,373,96,397,50,443,343,309,266,188,352
AGAP000056,protein coding gene,neuronal PAS domain-containing protein,77,55,60,49,49,56,20,53,18,47,52,37,44,26,35
AGAP000057,protein coding gene,paired box protein,375,273,284,281,253,213,161,384,104,272,294,242,199,137,185
AGAP000058,protein coding gene,unspecified product,1182,906,852,949,743,774,496,926,412,861,794,693,683,477,627
AGAP000061,protein coding gene,One cut domain family member [Source:UniProtKB/TrEMBL;Acc:A0NCM1],360,315,299,298,215,242,226,352,177,278,341,213,247,156,190
AGAP000062,protein coding gene,unspecified product,1297,1001,1105,918,886,744,464,1109,322,828,830,944,730,525,706
AGAP000063,protein coding gene,paired box protein,107,106,112,87,89,89,57,106,110,55,73,72,50,44,51
AGAP000064,protein coding gene,plexin A,3551,2739,2574,2078,2188,2193,1283,3137,937,2729,2758,2757,1923,1370,1990
AGAP000066,protein coding gene,unspecified product,303,229,230,183,196,192,107,228,66,174,153,155,218,154,177
AGAP000067,protein coding gene,unspecified product,136,172,104,101,128,119,80,153,61,126,132,121,88,75,81
AGAP000068,protein coding gene,nuclear factor I,225,187,174,159,132,173,146,210,80,123,135,118,142,70,108
AGAP000069,protein coding gene,unspecified product,6,5,4,6,0,2,1,4,5,3,4,2,2,3,2
AGAP000070,protein coding gene,protein kinase,1375,1150,1025,1022,1052,803,647,1417,383,1250,1147,1184,801,677,920
AGAP000071,protein coding gene,unspecified product,2,3,4,9,4,1,0,4,8,2,1,1,2,1,5
AGAP000072,protein coding gene,unspecified product,1,1,3,5,8,3,1,4,1,3,0,6,2,1,3
AGAP000073,protein coding gene,gamma-sarcoglycan,154,149,146,155,165,144,68,147,107,97,78,84,125,52,107
AGAP000074,protein coding gene,unspecified product,1,0,2,2,2,1,3,1,3,2,0,3,0,0,1
AGAP000075,protein coding gene,otopetrin,264,231,199,146,172,189,150,216,101,195,300,233,149,93,150
AGAP000076,protein coding gene,sterol regulatory element-binding transcription factor 1,2312,2044,1948,1461,1687,1556,990,2802,674,2590,2460,2294,1069,789,1124
AGAP000078,protein coding gene,unspecified product,672,664,611,598,514,488,397,767,248,563,714,541,427,240,427
AGAP000079,protein coding gene,unspecified product,420,372,318,330,464,300,177,223,76,355,321,239,275,285,327
AGAP000080,protein coding gene,unspecified product,594,446,471,418,389,473,234,513,115,329,368,356,430,231,284
AGAP000081,protein coding gene,glucuronyl/N-acetylglucosaminyl transferase,953,770,691,600,637,664,305,835,179,782,729,634,409,333,518
AGAP000082,protein coding gene,translation initiation factor eIF-2B subunit epsilon,1562,1347,1304,829,859,954,602,1338,230,1336,1090,975,745,542,768
AGAP000085,protein coding gene,cuticular protein RR-2 family 129,9,11,7,9,7,4,5,6,4,7,13,9,10,3,1
AGAP000088,protein coding gene,cytochrome P450,2,4,1,4,2,2,1,2,1,1,2,7,2,8,3
AGAP000090,protein coding gene,adenylate cyclase,3189,2471,2621,2851,2678,2480,1325,2438,1091,1762,2106,1955,1989,1207,1696
AGAP000091,protein coding gene,methylsterol monooxygenase,350,371,284,205,215,192,217,320,111,414,373,285,125,120,138
AGAP000092,protein coding gene,methylsterol monooxygenase,741,611,542,432,373,482,249,677,99,864,907,613,320,318,443
AGAP000093,protein coding gene,unspecified product,624,500,510,468,420,488,486,554,512,397,379,351,345,238,237
AGAP000094,protein coding gene,4-nitrophenylphosphatase,1486,1383,1164,584,782,667,276,889,89,1107,1193,995,413,432,668
AGAP000095,protein coding gene,anoctamin 5,2863,2405,2130,2204,2260,2270,1076,2646,483,2274,2922,2161,1907,1424,1956
AGAP000096,protein coding gene,unspecified product,510,430,359,457,451,380,154,404,116,363,394,338,235,237,282
AGAP000097,protein coding gene,solute carrier family 25,1461,1035,1133,1550,1391,1561,522,1129,362,947,934,842,1025,1025,1199
AGAP000098,protein coding gene,autophagy related gene,230,165,151,137,138,134,80,159,61,156,186,152,75,78,111
AGAP000099,protein coding gene,JAKSTAT pathway signalling transcription factor,4007,2962,3028,2580,2349,2810,1767,3128,762,3147,3615,2553,2240,1735,2265
AGAP000100,protein coding gene,unspecified product,95,65,82,70,70,63,26,70,6,73,69,50,38,34,45
AGAP000102,protein coding gene,"alpha-1,6-mannosyltransferase",1458,1210,1153,937,888,984,577,1249,304,1185,1070,1097,691,541,818
AGAP000104,protein coding gene,unspecified product,351,363,350,213,115,195,205,343,134,399,435,328,112,102,131
AGAP000105,protein coding gene,unspecified product,224,188,166,95,110,137,61,165,40,188,210,145,86,58,141
AGAP000106,protein coding gene,"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial [Source:UniProtKB/TrEMBL;Acc:Q7QER0]",787,681,537,393,429,504,130,561,47,494,532,475,257,257,345
AGAP000107,protein coding gene,unspecified product,68,50,62,47,46,47,19,101,8,63,51,55,47,28,44
AGAP000108,protein coding gene,ovary ecdysteroidogenic hormone,55,43,39,71,51,41,27,65,10,44,53,56,35,22,50
AGAP000109,protein coding gene,cytochrome c oxidase subunit VIIa,4768,4242,3960,4324,3658,4242,1947,4228,1359,3526,3485,3420,2740,2327,3112
AGAP000110,protein coding gene,"39S ribosomal protein L40, mitochondrial [Source:UniProtKB/TrEMBL;Acc:Q7QER3]",519,471,442,412,403,360,202,497,110,460,465,409,258,234,323
AGAP000111,protein coding gene,unspecified product,2,0,0,1,0,2,0,0,0,0,0,0,1,0,1
AGAP000112,protein coding gene,NAD+ synthase (glutamine-hydrolysing),1353,1084,1052,873,855,823,357,1191,199,875,750,929,809,536,766
AGAP000113,protein coding gene,unspecified product,287,254,267,241,161,248,139,488,172,168,174,208,118,75,101
AGAP000114,protein coding gene,unspecified product,540,286,343,337,289,335,302,498,262,457,463,337,369,216,328
AGAP000115,protein coding gene,neuropeptide Y receptor 4,7,9,4,4,6,5,1,10,2,6,0,2,1,2,6
AGAP000116,protein coding gene,Rab11 family-interacting protein 1/2/5,722,619,540,557,519,571,488,888,262,642,833,644,427,311,462
AGAP000117,protein coding gene,Wnt inhibitory factor 1000117],1136,860,830,595,370,739,579,873,350,735,879,781,402,206,302
AGAP000118,protein coding gene,ubiquinone biosynthesis monooxygenase Coq7,456,499,410,455,443,304,338,621,175,485,588,568,223,186,267
AGAP000119,protein coding gene,golgi to ER traffic protein 4 homolog,887,840,770,878,820,724,711,1022,972,946,931,771,475,355,567
AGAP000120,protein coding gene,tubulin folding cofactor B,562,484,384,400,343,423,257,536,145,507,600,393,257,191,272
AGAP000121,protein coding gene,unspecified product,269,209,234,147,141,167,72,235,64,166,108,124,149,75,104
AGAP000123,protein coding gene,C-type lectin (CTL),15,27,21,25,20,18,13,16,10,32,26,25,14,13,14
AGAP000124,protein coding gene,inositol polyphosphate-4-phosphatase,773,618,611,509,561,538,369,673,313,561,555,566,410,263,421
AGAP000126,protein coding gene,unspecified product,1323,1167,1065,783,856,889,630,1126,159,1434,1372,1085,530,427,611
AGAP000127,protein coding gene,zinc finger protein-like 1 homolog,306,230,200,193,155,171,98,236,72,269,274,239,158,122,141
AGAP000128,protein coding gene,"MFS transporter, VNT family, synaptic vesicle glycoprotein 2",817,778,788,805,916,847,387,1068,360,965,843,918,522,424,637
AGAP000129,protein coding gene,Aminopeptidase [Source:UniProtKB/TrEMBL;Acc:Q7PRZ0],2676,2749,2320,1986,2002,1825,1069,2409,490,2110,2321,1990,1432,1117,1485
AGAP000131,protein coding gene,unspecified product,546,400,443,407,372,444,178,465,117,405,276,351,292,180,250
AGAP000132,protein coding gene,unspecified product,386,360,343,427,443,291,186,403,96,365,377,329,270,210,333
AGAP000133,protein coding gene,unspecified product,32,18,26,46,18,12,28,42,28,52,59,37,25,22,27
AGAP000136,protein coding gene,tetratricopeptide repeat domain 21B,171,147,131,109,93,94,62,127,39,171,142,106,59,52,90
AGAP000137,protein coding gene,"solute carrier family 45, member 1/2/4",322,364,336,87,75,74,149,264,103,238,291,303,37,25,22
AGAP000138,protein coding gene,nicotinic acetylcholine receptor subunit alpha 4,289,221,217,166,173,223,90,183,52,168,137,119,125,88,137
AGAP000139,protein coding gene,DNA polymerase gamma,218,167,134,96,104,109,19,140,8,137,129,133,88,46,97
AGAP000140,protein coding gene,ionotropic receptor IR100a,69,34,39,25,19,37,13,23,4,28,33,21,24,20,24
AGAP000141,protein coding gene,unspecified product,2067,1510,1485,1504,1519,1253,938,2186,450,1785,1536,1896,1378,877,1372
AGAP000142,protein coding gene,unspecified product,2939,2454,2455,2350,2279,2204,1189,3042,1195,2146,2398,2255,1631,1284,1810
AGAP000143,protein coding gene,beta-mannosidase,2301,1312,1100,1301,1262,1416,407,1675,219,1296,1269,1342,1049,662,1279
AGAP000144,protein coding gene,progestin and adipoQ receptor family member 3,420,340,384,363,446,378,110,265,34,244,373,253,337,241,308
AGAP000145,protein coding gene,"E2 ubiquitin-conjugating enzyme E2D, effete",14346,11365,10959,13366,9474,13276,9112,15513,9032,10839,10140,8880,9549,6309,7825
AGAP000146,protein coding gene,unspecified product,613,431,431,415,410,393,190,479,45,397,445,367,443,266,365
AGAP000147,protein coding gene,PDZ-binding kinase,2379,1797,1567,1557,1538,1542,1276,2193,727,2458,2483,1623,1215,896,1462
AGAP000149,protein coding gene,Ras association domain-containing protein 2/4,1724,1452,1246,1512,1272,1172,1015,1682,686,1605,1623,1396,913,720,933
AGAP000150,protein coding gene,salivary gland protein 6,2646,1971,2167,1499,842,1973,622,1501,679,1050,854,1432,656,808,990
AGAP000151,protein coding gene,unspecified product,2316,878,1425,1869,930,2659,785,973,565,587,467,657,827,818,969
AGAP000152,protein coding gene,unspecified product,714,593,409,382,142,1015,105,275,166,187,159,79,85,158,95
AGAP000153,protein coding gene,unspecified product,306,244,247,140,143,153,81,231,27,183,225,198,113,100,107
AGAP000154,protein coding gene,AMP dependent ligase,2771,2043,1979,874,981,1016,291,1660,67,1095,1281,2278,707,527,879
AGAP000155,protein coding gene,alkylated DNA repair protein alkB homolog,185,122,84,100,93,107,62,146,15,140,134,103,68,64,62
AGAP000156,protein coding gene,unspecified product,378,325,268,302,269,272,175,327,237,221,263,204,146,126,187
AGAP000158,protein coding gene,histone arginine demethylase,772,728,626,570,525,565,398,959,267,896,970,694,538,399,573
AGAP000159,protein coding gene,Kinesin-like protein [Source:UniProtKB/TrEMBL;Acc:Q7PRX2],2358,1577,1423,1606,1517,1483,1203,2277,583,2085,2149,1725,1427,989,1602
AGAP000160,protein coding gene,unspecified product,0,1,0,4,1,2,0,0,0,0,0,0,0,1,0
AGAP000161,protein coding gene,"Adaptor-related protein complex 3, delta 1 subunit",875,701,725,670,618,618,511,920,311,903,955,692,578,384,485
AGAP000162,protein coding gene,Cystathionine beta-synthase [Source:UniProtKB/TrEMBL;Acc:Q7QEV0],373,285,294,151,180,283,187,201,81,773,985,323,174,133,265
AGAP000163,protein coding gene,glutathione transferase microsomal 2,123,101,103,86,91,82,39,132,13,103,137,91,47,78,66
AGAP000164,protein coding gene,unspecified product,52,40,33,33,35,30,14,35,7,45,49,26,13,15,18
AGAP000165,protein coding gene,glutathione transferase microsomal 1,798,810,643,662,704,611,505,1295,183,1043,1180,850,621,537,812
AGAP000166,protein coding gene,PA2c domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4G897],35,50,26,25,26,37,34,58,2,66,73,40,19,10,11
AGAP000167,protein coding gene,Lipid storage droplets surface-binding protein 2,7922,9012,6210,10865,9472,7679,9363,17942,7272,13851,16631,11281,7610,5092,7633
AGAP000168,protein coding gene,Putative frizzled receptor 3 [Source:UniProtKB/TrEMBL;Acc:A0A1S4G8S5],399,219,221,188,184,206,96,196,43,278,284,235,168,101,197
AGAP000169,protein coding gene,fanconi anemia group M protein,232,204,137,123,95,125,29,148,21,142,144,119,58,41,67
AGAP000170,protein coding gene,NADH dehydrogenase (ubiquinone) Fe-S protein 7,7844,7160,6470,5961,6633,5671,2292,6806,1650,7934,7321,6097,4076,3270,4372
AGAP000171,protein coding gene,E3 ubiquitin-protein ligase,3741,3259,2797,2637,2699,2842,1950,3604,1842,3099,4366,2657,1982,1548,2124
AGAP000173,protein coding gene,unspecified product,860,692,612,622,599,645,340,715,285,637,726,528,382,300,352
AGAP000177,protein coding gene,cuticular protein RR-2 family 128,2,3,6,7,9,7,0,3,4,1,7,3,4,7,1
AGAP000178,protein coding gene,splicing factor 3B subunit 1,1097,945,808,640,714,643,490,1038,376,857,892,911,580,430,629
AGAP000179,protein coding gene,Amidophosphoribosyltransferase [Source:UniProtKB/TrEMBL;Acc:Q7QEW3],2637,2279,2558,1430,1363,2497,351,960,65,3594,2150,1050,1516,1780,2597
AGAP000180,protein coding gene,phosphoribosylaminoimidazole carboxylase,2347,3055,2576,1680,1663,2375,547,1977,172,10485,4573,1876,2584,1778,2651
AGAP000181,protein coding gene,riboflavin transporter 2,350,234,254,240,211,189,195,538,92,406,768,419,119,195,219
AGAP000182,protein coding gene,unspecified product,636,736,458,499,456,366,613,2172,591,1045,1145,1152,248,244,383
AGAP000183,protein coding gene,unspecified product,76,138,92,132,99,50,300,630,217,260,433,325,19,22,25
AGAP000184,protein coding gene,malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+),10021,12644,6564,7951,6002,8658,17450,50942,14042,19461,29635,31644,4383,3029,4995
AGAP000185,protein coding gene,double stranded RNA-specific editase,1157,856,746,786,631,848,474,943,310,870,853,741,629,453,557
AGAP000186,protein coding gene,unspecified product,6,0,1,6,7,4,1,1,1,4,10,3,4,3,5
AGAP000187,protein coding gene,unspecified product,1746,1419,1400,1285,1425,1132,808,1614,370,1573,1540,1429,878,731,997
AGAP000188,protein coding gene,Uridine phosphorylase [Source:UniProtKB/TrEMBL;Acc:Q7PFX7],3688,1883,2887,1415,1131,3555,971,1204,656,1314,1613,1039,578,437,625
AGAP000189,protein coding gene,transcription initiation factor TFIID subunit 3,1504,1276,1343,1123,1049,889,740,1436,362,1304,1306,1099,890,576,863
AGAP000190,protein coding gene,unspecified product,692,533,488,531,523,604,209,507,131,319,350,391,416,240,343
AGAP000191,protein coding gene,unspecified product,40,41,16,36,17,44,7,37,3,22,43,35,19,28,33
AGAP000192,protein coding gene,cytochrome P450,92,32,23,13,7,35,6,35,0,39,26,28,2,5,22
AGAP000193,protein coding gene,cytochrome P450,0,0,0,1,0,0,0,2,0,0,2,0,0,1,0
AGAP000194,protein coding gene,cytochrome P450,30,12,22,18,31,27,9,26,1,15,34,21,6,16,16
AGAP000195,protein coding gene,cytoplasmic FMR1 interacting protein,1405,1239,1112,933,904,988,627,1218,405,1311,1319,1092,618,484,681
AGAP000196,protein coding gene,unspecified product,91,67,73,45,49,57,34,50,12,100,67,55,33,34,30
AGAP000198,protein coding gene,Chitinase [Source:UniProtKB/TrEMBL;Acc:A0A1S4G846],896,797,1134,528,395,757,470,939,181,684,1170,628,329,273,317
AGAP000199,protein coding gene,phospholipase D3/4,591,472,421,309,372,361,94,461,58,434,432,398,259,231,329
AGAP000200,protein coding gene,unspecified product,34,30,48,21,9,18,11,33,11,19,34,10,9,7,9
AGAP000201,protein coding gene,26S proteasome non-ATPase regulatory subunit 9 [Source:UniProtKB/TrEMBL;Acc:Q7QEX9],431,406,344,400,384,357,236,479,113,376,379,322,207,186,207
AGAP000202,protein coding gene,unspecified product,117,83,96,103,64,103,79,139,25,83,110,74,72,48,57
AGAP000203,protein coding gene,"inositol-1,4,5-trisphosphate 5-phosphatase",1700,1420,1325,1415,1271,1258,765,1549,695,1402,1481,1235,834,598,827
AGAP000204,protein coding gene,unspecified product,85,62,62,50,45,82,34,63,21,52,66,51,27,36,38
AGAP000205,protein coding gene,unspecified product,973,604,647,615,548,683,355,868,224,673,795,613,486,313,469
AGAP000206,protein coding gene,unspecified product,4,1,3,2,1,2,3,4,3,4,1,0,8,0,1
AGAP000209,protein coding gene,glutamate receptor binding protein,317,347,340,199,197,259,109,272,53,211,247,200,146,107,153
AGAP000210,protein coding gene,triacylglycerol lipase,456,472,814,1017,817,839,181,251,45,2184,1289,173,2796,2602,3491
AGAP000211,protein coding gene,triacylglycerol lipase,509,367,535,452,551,627,92,166,33,834,278,295,615,721,823
AGAP000213,protein coding gene,ankyrin repeat and SOCS box protein 17,251,213,164,49,49,39,39,172,16,197,195,182,28,28,37
AGAP000214,protein coding gene,unspecified product,507,498,491,480,329,404,353,570,373,425,490,371,277,192,225
AGAP000215,protein coding gene,unspecified product,189,184,149,173,128,162,127,205,113,144,188,132,132,88,108
AGAP000216,protein coding gene,unspecified product,3,2,5,2,1,2,1,0,0,0,1,0,0,0,0
AGAP000217,protein coding gene,unspecified product,147,125,123,70,73,85,31,102,11,82,64,83,69,54,49
AGAP000218,protein coding gene,unspecified product,480,495,393,278,287,330,192,369,64,299,413,292,248,174,214
AGAP000219,protein coding gene,Tektin-3,17,12,23,16,9,8,7,12,2,12,14,13,7,8,3
AGAP000220,protein coding gene,xylulokinase,796,1268,871,1156,988,497,691,2300,603,1200,1282,1940,608,583,703
AGAP000222,protein coding gene,unspecified product,5725,5080,5215,4425,6954,3993,2165,4777,1946,3924,4017,3469,3715,2973,3771
AGAP000223,protein coding gene,unspecified product,582,442,408,362,344,379,247,525,155,420,400,390,297,210,305
AGAP000225,protein coding gene,unspecified product,35,31,26,10,4,12,9,16,7,8,15,9,8,11,7
AGAP000226,protein coding gene,odorant receptor 41,2,3,1,1,0,4,0,2,0,2,1,2,1,0,2
AGAP000228,protein coding gene,netrin 1,1002,895,997,929,819,823,601,901,585,658,726,675,517,375,552
AGAP000230,protein coding gene,odorant receptor 52,2,2,2,1,0,0,0,3,0,0,0,0,0,0,0
AGAP000232,protein coding gene,regulator of G-protein signaling,2548,2205,2435,2316,1903,2252,1742,3123,1904,1938,2017,1900,1512,1021,1183
AGAP000233,protein coding gene,BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4G8Z3],451,326,292,239,223,228,133,335,80,254,249,269,165,99,145
AGAP000234,protein coding gene,unspecified product,910,814,713,516,629,511,315,915,104,786,694,799,444,374,548
AGAP000235,protein coding gene,Thymosin,3204,2699,2335,2750,1963,3194,2523,3211,1879,3149,2729,2256,1539,1195,1525
AGAP000236,protein coding gene,"3',5'-cyclic-nucleotide phosphodiesterase",2838,2344,2550,2284,1828,2037,2085,3005,3581,2527,2448,2046,1695,1195,1294
AGAP000237,protein coding gene,cAMP response element-binding protein (CREB),3637,3318,3183,3579,3164,3109,2993,3996,2459,3688,4007,2923,2648,1917,2240
AGAP000238,protein coding gene,unspecified product,1937,1936,1662,1713,1626,1596,958,3267,318,2354,2376,2416,1739,1311,1735
AGAP000239,protein coding gene,allantoinase,9,15,16,9,12,23,10,16,5,170,24,8,11,11,84
AGAP000240,protein coding gene,HtrA serine peptidase 2,291,217,175,123,143,156,41,174,13,168,170,162,97,68,113
AGAP000241,protein coding gene,N-acetylglucosamine kinase,1868,1210,1290,1586,1510,1731,578,1351,227,1506,1187,970,1123,1030,1521
AGAP000242,protein coding gene,vesicle transport protein SEC20,353,274,198,268,218,222,210,385,179,339,332,240,169,142,194
AGAP000243,protein coding gene,Rhophilin-2,431,393,395,416,409,441,338,443,152,515,515,357,340,225,332
AGAP000244,protein coding gene,unspecified product,5,3,1,7,7,3,1,0,3,3,3,0,1,1,2
AGAP000245,protein coding gene,unspecified product,754,683,651,892,660,694,679,807,528,739,784,619,435,334,398
AGAP000246,protein coding gene,unspecified product,319,276,318,298,265,169,202,229,215,479,306,265,136,167,143
AGAP000247,protein coding gene,unspecified product,36,60,58,32,29,37,20,64,17,46,63,39,33,25,30
AGAP000248,protein coding gene,protein phosphatase 1H,363,268,307,284,268,256,214,428,216,304,277,305,307,183,224
AGAP000249,protein coding gene,mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,800,660,679,404,373,539,144,551,43,521,494,710,294,329,374
AGAP000250,protein coding gene,STAGA complex 65 subunit gamma,280,236,229,220,185,197,193,293,199,278,259,201,104,108,141
AGAP000251,protein coding gene,unspecified product,349,307,280,238,209,276,166,334,105,297,307,272,175,121,182
AGAP000252,protein coding gene,oligopeptidase A,2114,1816,1569,1336,1415,1248,687,1788,527,1665,1465,1398,1118,881,1257
AGAP000253,protein coding gene,solute carrier family 25,703,459,549,380,446,430,148,558,74,441,532,536,301,186,308
AGAP000254,protein coding gene,potassium voltage-gated channel Shaker-related subfamily A,3814,2806,3128,4018,3093,3674,2540,3490,3631,2129,2291,2032,2718,1513,1801
AGAP000255,protein coding gene,unspecified product,1812,1462,1440,1296,1305,1207,832,1862,794,1389,1437,1371,1243,762,1093
AGAP000256,protein coding gene,unspecified product,10,8,8,14,4,11,6,19,1,15,21,16,11,6,13
AGAP000258,protein coding gene,Hexosyltransferase [Source:UniProtKB/TrEMBL;Acc:Q7PRX3],751,533,500,451,485,545,177,560,70,529,528,504,373,311,392
AGAP000260,protein coding gene,mitochondrial ATP synthase epsilon chain,6930,5343,6459,6496,5887,5838,4631,6962,4109,4422,4573,5060,3425,2510,3721
AGAP000261,protein coding gene,DnaJ-like protein subfamily C,886,720,639,566,510,554,374,844,160,658,614,607,441,290,444
AGAP000262,protein coding gene,unspecified product,4,2,1,2,2,5,2,3,4,4,4,1,2,2,2
AGAP000264,protein coding gene,unspecified product,1667,1329,1275,1342,1145,1340,739,1833,371,1432,1398,1220,1029,799,1101
AGAP000266,protein coding gene,unspecified product,16,9,7,9,6,8,0,4,0,3,10,6,6,2,9
AGAP000267,protein coding gene,unspecified product,146,191,128,120,119,111,91,200,46,129,129,124,92,72,67
AGAP000268,protein coding gene,unspecified product,110,86,114,57,46,112,14,50,9,53,61,71,38,46,49
AGAP000269,protein coding gene,ubiquitin carboxyl-terminal hydrolase 30,725,635,554,521,509,521,444,657,355,574,558,498,356,246,347
AGAP000270,protein coding gene,nucleolar protein 53,944,826,694,875,739,653,513,1086,217,777,800,833,664,535,652
AGAP000271,protein coding gene,unspecified product,839,650,548,434,415,466,318,648,217,815,913,608,378,282,416
